Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2018-12-04;1.078,65;1.078,65;1.066,73;1.066,91;4.545.760.256
2018-12-03;1.063,54;1.091,61;1.063,38;1.081,73;5.625.158.656
2018-11-30;1.069,68;1.069,68;1.058,95;1.062,63;6.398.146.048
2018-11-29;1.073,88;1.077,86;1.066,59;1.068,55;4.509.102.080
2018-11-28;1.070,9;1.072,09;1.065,23;1.067,17;4.155.742.976
2018-11-27;1.073,16;1.075,35;1.063,32;1.067,46;4.380.301.824
2018-11-26;1.061,52;1.073,58;1.061,52;1.070,98;4.471.600.640
2018-11-23;1.052,07;1.056,23;1.047,08;1.055,95;3.215.517.952
2018-11-22;1.058,68;1.058,68;1.049,92;1.051,36;3.253.390.336
2018-11-21;1.050,33;1.061,29;1.047,85;1.060,2;4.794.602.496
2018-11-20;1.057,63;1.057,63;1.038,19;1.044,15;6.141.136.896
2018-11-19;1.075,85;1.079,96;1.060,62;1.061,74;4.434.954.752
2018-11-16;1.081,12;1.083,6;1.064,05;1.072,75;5.667.504.640
2018-11-15;1.086,49;1.089,02;1.066,25;1.074,66;5.089.270.272
2018-11-14;1.080,87;1.095,42;1.072,16;1.081,57;5.513.605.120
2018-11-13;1.075,91;1.087,39;1.074,23;1.085,73;5.344.625.664
2018-11-12;1.096,3;1.097,62;1.070,87;1.071,91;4.864.859.648
2018-11-09;1.088,69;1.092,89;1.081,8;1.091,39;5.878.555.648
2018-11-08;1.100,54;1.104,4;1.091,18;1.092,87;5.274.958.848
2018-11-07;1.092,84;1.103,06;1.092,84;1.097,89;4.891.188.736
2018-11-06;1.092,85;1.093,78;1.085,77;1.088,94;4.315.780.608
2018-11-05;1.096,22;1.097,77;1.089,91;1.090,94;3.813.264.896
2018-11-02;1.090,48;1.111,04;1.090;1.096,11;6.274.276.352
2018-11-01;1.081,42;1.095,99;1.081,26;1.088,39;5.016.107.520
2018-10-31;1.069,72;1.088,11;1.069,72;1.083,66;6.378.812.928
2018-10-30;1.073,09;1.074,46;1.058,62;1.066,58;5.475.462.656
2018-10-29;1.059,59;1.080,04;1.059,25;1.069,61;5.611.365.888
2018-10-26;1.061,05;1.061,05;1.042,95;1.056,51;10.709.232.640
2018-10-25;1.049,61;1.067,22;1.044,45;1.066,03;6.637.894.656
2018-10-24;1.063,28;1.072,21;1.052,24;1.053,78;5.898.025.984
2018-10-23;1.083,59;1.083,59;1.059,07;1.062,16;6.630.658.560
2018-10-22;1.093,45;1.101,44;1.084,49;1.086,91;4.593.843.712
2018-10-19;1.095,27;1.097,28;1.084,65;1.089,96;6.925.170.688
2018-10-18;1.106,46;1.112,41;1.095,2;1.095,2;5.989.003.776
2018-10-17;1.114,12;1.117,42;1.101,29;1.105,15;5.644.161.536
2018-10-16;1.092,58;1.110,61;1.090,94;1.109,76;5.291.929.600
2018-10-15;1.083,59;1.091,84;1.078,64;1.090,96;4.241.413.888
2018-10-12;1.087,61;1.099,54;1.084,32;1.084,93;5.923.072.000
2018-10-11;1.100,36;1.100,36;1.082,71;1.085,41;8.567.371.776
2018-10-10;1.127,26;1.127,99;1.101,71;1.101,72;6.824.854.016
2018-10-09;1.126,6;1.130,04;1.113,57;1.128,07;5.051.943.424
2018-10-08;1.139,33;1.139,71;1.125,9;1.126,52;4.735.650.816
2018-10-05;1.156,26;1.156,26;1.143,05;1.143,59;5.066.862.592
2018-10-04;1.162,47;1.166,45;1.154,72;1.157,19;5.998.002.688
2018-10-02;1.163,03;1.165,71;1.156,33;1.163,32;4.797.500.416
2018-10-01;1.160,22;1.171,73;1.160,22;1.168,78;4.502.510.080
2018-09-28;1.172,18;1.172,18;1.154,96;1.159,95;6.204.306.944
2018-09-27;1.167,97;1.176,94;1.162,01;1.175,4;4.858.540.032
2018-09-26;1.173,39;1.173,39;1.167,41;1.172,25;4.793.285.120
2018-09-25;1.169,36;1.175,75;1.168,52;1.171,86;5.280.218.624
2018-09-24;1.174;1.175,73;1.170,1;1.170,19;4.212.903.680
2018-09-21;1.174,1;1.181,1;1.174,1;1.178,34;15.868.803.072
2018-09-20;1.162,29;1.172,89;1.162,29;1.170,73;6.091.593.216
2018-09-19;1.160,61;1.165,91;1.159,88;1.163,94;4.593.395.712
2018-09-18;1.154,72;1.162;1.152,51;1.160,78;4.841.798.144
2018-09-17;1.156,02;1.158;1.151,12;1.155,85;3.721.686.784
2018-09-14;1.155,01;1.159,14;1.153,34;1.158,45;4.057.038.848
2018-09-13;1.151,82;1.158,95;1.150,4;1.151,39;4.615.263.744
2018-09-12;1.148,41;1.153,99;1.145,09;1.151,58;4.633.456.128
2018-09-11;1.150,2;1.151,35;1.138,6;1.146,58;4.544.139.776
2018-09-10;1.144,83;1.152,12;1.142,68;1.148,33;4.082.872.320
2018-09-07;1.144,8;1.147,71;1.138,48;1.145,31;4.762.357.248
2018-09-06;1.149,61;1.155,99;1.143,59;1.144,21;4.869.757.952
2018-09-05;1.165,93;1.166,14;1.151,71;1.151,71;5.534.188.032
2018-09-04;1.183,7;1.186,54;1.164,5;1.168,39;4.338.747.392
2018-09-03;1.181,07;1.183,17;1.177,32;1.181,18;2.926.759.424
2018-08-31;1.191,9;1.191,9;1.181,86;1.183,07;4.941.864.960
2018-08-30;1.198,39;1.198,39;1.186,37;1.194,46;4.063.012.352
2018-08-29;1.198,83;1.201,18;1.195,08;1.200,06;3.416.140.288
2018-08-28;1.200,17;1.203,03;1.197,3;1.197,3;3.907.776.768
2018-08-27;1.188,75;1.198,83;1.187,69;1.197,29;3.144.874.240
2018-08-24;1.181,95;1.186,94;1.179,25;1.183,45;3.244.622.592
2018-08-23;1.179,28;1.183,74;1.179,15;1.180,31;3.847.875.840
2018-08-22;1.177,59;1.185,15;1.177,09;1.180,32;4.762.971.648
2018-08-21;1.173,13;1.184;1.173,13;1.179,71;3.929.509.888
2018-08-20;1.165,56;1.178,42;1.165,56;1.174,94;3.521.341.440
2018-08-17;1.166,54;1.167,17;1.157,68;1.163,93;4.401.477.632
2018-08-16;1.161,48;1.167,18;1.159,63;1.166,15;4.943.712.768
2018-08-15;1.179,63;1.181,22;1.153,21;1.157,3;5.614.225.408
2018-08-14;1.183,51;1.186,01;1.171,33;1.176,53;4.492.039.680
2018-08-13;1.183,25;1.183,25;1.173,52;1.177,76;5.042.799.104
2018-08-10;1.196,67;1.196,81;1.178,88;1.181,96;5.744.122.368
2018-08-09;1.195,9;1.204,49;1.194,86;1.203,21;4.455.959.552
2018-08-08;1.198,07;1.203,41;1.193,88;1.198,26;4.422.990.848
