arivaID,country,exchangeID,file_urls,files,foundingyear,industry,isin,listingdate,sector,security_name,stocktype,ticker
121485292,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=121485292&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=121485292&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A1MMEV4.csv', 'checksum': 'efb5f5444d34b4a1fe32d9d4928d7d9e'}]",0,Beteiligungen,DE000A1MMEV4,11.11.2015,Finanzsektor,german_startups_group-aktie,Inlandsaktie,GSJ
102110472,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=102110472&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=102110472&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000FTG1111.csv', 'checksum': '23c8e1e97d6eb45ae6ed6d16ded6033c'}]",1999,Finanzdienstleistungen,DE000FTG1111,30.06.2009,Finanzsektor,fintech_group-aktie,Inlandsaktie,FTK
294,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=294&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=294&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE0005190003.csv', 'checksum': '718a72aa7bd337e23498271a270b9c04'}]",1916,Automobilproduktion,DE0005190003,01.01.1926,Kraftfahrzeugindustrie,bmw-aktie,Inlandsaktie,BMW
135001715,Deutschland,131,http://www.ariva.de/quote/historic/historic.csv?secu=135001715&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=135001715&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A0N4N52.csv', 'checksum': 'b4dc23345075da108366d216af46512a'}]",2007,Telekomdienstleister,DE000A0N4N52,09.05.2018,Telekommunikation,nfon-aktie,Inlandsaktie,NFN
113312480,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=113312480&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=113312480&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A1X3YY0.csv', 'checksum': 'e866f13daebf01a5f7e180ec0f3c762d'}]",1953,Printmedien (Zeitungen und Magazine),DE000A1X3YY0,08.10.2013,Medien/Entertainment/Freizeit,bastei_l%C3%BCbbe-aktie,Inlandsaktie,BST
296,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=296&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=296&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000CBK1001.csv', 'checksum': 'db8fdf450acae2f05173ca37fddf74f3'}]",1870,Banken,DE000CBK1001,26.01.1870,Finanzsektor,commerzbank-aktie,Inlandsaktie,CBK
142044463,,6,http://www.ariva.de/quote/historic/historic.csv?secu=142044463&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=142044463&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A2YPGM4.csv', 'checksum': 'ac23a30d17091be5df410710e460c9b0'}]",,,DE000A2YPGM4,,,curasan_ag_konv-aktie,,
134396935,Schweiz,123,http://www.ariva.de/quote/historic/historic.csv?secu=134396935&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=134396935&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_CH0404880129.csv', 'checksum': '9df116a1925da44cb1191f6e98197d24'}]",2004,Internetkommerz,CH0404880129,20.03.2018,Informationstechnologie,asmallworld-aktie,Auslandsaktie,1Q7
120004533,Deutschland,131,http://www.ariva.de/quote/historic/historic.csv?secu=120004533&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=120004533&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A0SMU87.csv', 'checksum': '5f5dc60c0932d96e30c02836a520a462'}]",0,Sonstige Technologie,DE000A0SMU87,-,Technologie,northern_bitcoin_ag-aktie,Inlandsaktie,NB2
168,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=168&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=168&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE0006632003.csv', 'checksum': 'aeddf84ecf95c8777795c17642ec310a'}]",1992,Biotechnologie,DE0006632003,09.03.1999,Chemie/Pharma,morphosys-aktie,Inlandsaktie,MOR
